Node,Closeness_Centrality
2072,0.2544032428420542
4641,0.2543741972313401
2610,0.25436693686493894
1542,0.25435967691297773
4107,0.25435967691297773
4465,0.25435241737542097
3844,0.254337899543379
82,0.25430886885058784
4484,0.25430886885058784
2363,0.2543016122128692
780,0.2543016122128692
3368,0.2543016122128692
2600,0.25429435598927125
141,0.2542798447842958
1297,0.25426533523537803
6496,0.25425808108185216
1809,0.25424357401648934
793,0.2542145648515275
916,0.2542145648515275
3318,0.2541855623056958
6276,0.2541638147387634
2201,0.2541638147387634
818,0.2541638147387634
180,0.25415656637672895
4632,0.2541420708928622
1236,0.2541420708928622
4364,0.2541348237709593
2625,0.2541275770623628
4466,0.2541275770623628
2387,0.2541275770623628
7170,0.2541058394160584
316,0.2540841054882395
2757,0.2540768616717984
1184,0.254069618268381
1224,0.254062375277952
8962,0.2540478905359179
328,0.25401892600615666
9984,0.2540116859056577
801,0.2539827296303685
2120,0.2539610167559558
388,0.25393930759367433
9349,0.25391760214257225
1557,0.25388143463521634
2825,0.25385973907594145
2868,0.25385973907594145
1228,0.25383081743093133
2698,0.25382358804932925
4616,0.25382358804932925
1220,0.253816359079517
8350,0.2538091305214593
1600,0.2537874473174621
4631,0.2537874473174621
3888,0.2537802204060711
8520,0.2537802204060711
13,0.25376576781799026
300,0.2536863079988614
3367,0.2536863079988614
8213,0.2536357685630532
8586,0.2536285502874381
8449,0.25362133242266427
404,0.25359968129303967
1331,0.25358524926018666
8340,0.25356360429055114
4377,0.2535563901217708
1857,0.25354196301564724
4417,0.2535275375512062
2113,0.2535275375512062
1984,0.2535275375512062
1876,0.2535275375512062
3458,0.253498691546251
5696,0.25347706134986775
8482,0.2534698521046644
4342,0.2534626432695316
1334,0.2534626432695316
4131,0.25345543484443434
4164,0.25344822682933765
3075,0.2534338120290061
1217,0.2534266052437013
1520,0.25341939886825715
2307,0.2534121929026388
2809,0.25339057746438826
6149,0.2533833731377232
1265,0.2533833731377232
1045,0.25337616922070905
1429,0.253361762615494
541,0.253361762615494
3841,0.2533401557791802
51,0.2533401557791802
438,0.25331135239611163
9362,0.2532825555618712
5174,0.25327535737630374
9364,0.2532537652742256
403,0.2532537652742256
1105,0.2532465687249581
307,0.25322498153094275
3082,0.25322498153094275
2437,0.25321778661741723
906,0.2532033980168764
904,0.2532033980168764
25,0.25319620432979145
526,0.2531746257208602
406,0.25316743366854155
2152,0.25316024202482745
8714,0.253153050789683
4103,0.25313866954496395
4436,0.25313866954496395
2876,0.25313147953531967
142,0.2531242899341059
3654,0.25311710074128774
2200,0.25310272358069924
8325,0.25310272358069924
2620,0.2530883480532758
8976,0.2530883480532758
8296,0.25307397415873917
8467,0.25307397415873917
1186,0.2530667878237165
2624,0.25305241637798853
4960,0.25305241637798853
840,0.25301649490389805
1560,0.2529877650665683
5514,0.2529375035477096
3362,0.2529087916453828
114,0.2529016146882715
613,0.252894438138479
161,0.2528800862607117
5666,0.25285138739147706
211,0.25284421369194543
7232,0.2528370403994553
8912,0.252822695035461
2386,0.2528083512992171
46,0.2527940091904465
3334,0.2527868387462771
553,0.25276532985421746
1061,0.25276532985421746
5768,0.25275816103689835
1169,0.25275816103689835
4032,0.25272948983353655
197,0.25272232304900183
4361,0.25272232304900183
4876,0.25271515667092015
4489,0.252665003402132
7424,0.252665003402132
2508,0.25261487003599875
310,0.2526005498710354
14,0.2525933903973698
4202,0.25258623132953545
3696,0.252579072667498
2357,0.252579072667498
5424,0.2525575991158217
5256,0.25253612921507507
8716,0.25253612921507507
6684,0.2525289733926497
4105,0.25251466296432723
8416,0.25251466296432723
1031,0.2525075083583612
2083,0.25249320036264733
4356,0.2524645892351275
1432,0.25245028610277037
9544,0.2524359845909812
1446,0.2524359845909812
2768,0.2524359845909812
2932,0.25238594205771575
2256,0.2523716478350749
2642,0.2523645013309169
3348,0.25235020953675386
2070,0.25234306424668007
9226,0.25234306424668007
6153,0.25234306424668007
419,0.25233591936123223
9264,0.25233591936123223
2452,0.25233591936123223
83,0.25233591936123223
913,0.25232877488037603
2993,0.25232877488037603
1314,0.25232877488037603
6194,0.252321630804077
5132,0.2523144871323009
2181,0.2523073438650133
2962,0.25227877484006117
6336,0.2522573523167936
4490,0.25225021228417777
4194,0.2522430726557414
2820,0.25223593343145023
773,0.2522287946112699
3576,0.2522216561951661
628,0.25218597017459465
886,0.25218597017459465
1158,0.25217883418222975
5128,0.25217169859370137
2330,0.25216456340897514
2604,0.2521574286280169
4673,0.2521502942507922
3337,0.25214316027726696
2450,0.25214316027726696
4294,0.25213602670740676
2168,0.25212889354117746
2129,0.25212889354117746
246,0.25212176077854476
4945,0.25212176077854476
9250,0.2520861030181314
4649,0.2520718427379437
2884,0.2520718427379437
2361,0.2520718427379437
6920,0.2520718427379437
3594,0.252064713202851
2832,0.25205045534249676
928,0.25205045534249676
2954,0.25204332701716675
8784,0.2520361990950226
