Node,Degree
1267,8
1310,8
2934,8
2930,8
4761,8
437,8
435,8
2326,8
1135,8
1276,8
4834,8
4820,8
1341,8
1338,8
9362,8
5921,8
4743,8
2972,8
2032,8
1078,8
4998,8
4986,8
5506,8
2342,8
1318,8
508,8
503,8
2061,8
8432,8
667,8
659,8
2980,8
4728,8
4724,8
4721,8
6181,8
6165,8
9858,8
109,8
739,8
1047,8
428,8
2363,8
4308,8
1956,8
8420,8
6209,8
1985,8
3354,8
3350,8
2760,8
2756,8
5106,8
2381,8
1052,8
9229,8
9862,8
1356,8
4690,8
3367,8
6312,8
6308,8
247,8
1411,8
8376,8
5456,8
2737,8
9120,8
8707,8
1039,8
1394,8
8397,8
8389,8
4681,8
6278,8
6277,8
4668,8
4660,8
4658,8
4657,8
4656,8
6358,8
6352,8
655,8
95,8
1013,8
5440,8
2409,8
2405,8
2403,8
6245,8
6240,8
1446,8
1434,8
1428,8
1425,8
8359,8
4643,8
8760,8
8754,8
996,8
8748,8
8742,8
410,8
4138,8
8372,8
9798,8
3355,8
6676,8
1857,8
6669,8
6665,8
3085,8
6546,8
3099,8
5145,8
5142,8
5134,8
9152,8
4621,8
9740,8
9730,8
6496,8
8354,8
3321,8
8337,8
1475,8
6721,8
1848,8
1846,8
6696,8
779,8
8774,8
92,8
5412,8
2459,8
2476,8
1458,8
8342,8
4594,8
8314,8
3128,8
4576,8
6684,8
3111,8
3110,8
9745,8
6788,8
1830,8
4373,8
5389,8
5383,8
963,8
8787,8
8732,8
3322,8
1780,8
7040,8
6936,8
1543,8
594,8
8852,8
9888,8
2501,8
2485,8
8838,8
1817,8
1802,8
558,8
4550,8
8277,8
4366,8
2520,8
3608,8
8265,8
9314,8
635,8
634,8
3154,8
4538,8
4529,8
5320,8
5318,8
5314,8
2691,8
8269,8
4546,8
7169,8
1736,8
7336,8
4500,8
4497,8
7182,8
4521,8
4518,8
3177,8
3174,8
3172,8
3169,8
4506,8
4502,8
5254,8
5253,8
339,8
2677,8
3624,8
3192,8
4486,8
7428,8
611,8
1559,8
4088,8
3641,8
3636,8
905,8
2675,8
2538,8
188,8
185,8
8259,8
4483,8
3209,8
3206,8
3205,8
7712,8
7684,8
1704,8
8234,8
1581,8
892,8
5251,8
2556,8
2554,8
2549,8
2547,8
2545,8
8252,8
8248,8
4468,8
1686,8
1685,8
3264,8
378,8
2567,8
9537,8
380,8
8900,8
8897,8
920,8
3968,8
1555,8
3282,8
1613,8
4390,8
1588,8
1684,8
7824,8
7744,8
4433,8
882,8
8929,8
8912,8
8969,8
8967,8
8966,8
2658,8
5170,8
2682,8
3874,8
29,8
9024,8
3700,8
822,8
3862,8
3860,8
355,8
2617,8
2613,8
2611,8
3649,8
3954,8
1611,8
4409,8
4404,8
2220,8
2217,8
1187,8
1172,8
302,8
2232,8
5652,8
113,8
9552,8
2645,8
2643,8
5193,8
5190,8
5188,8
2630,8
3664,8
9920,7
806,7
9985,7
9032,7
838,7
841,7
843,7
844,7
2579,7
2681,7
5180,7
2606,7
5220,7
5203,7
5208,7
357,7
359,7
3890,7
8981,7
849,7
8998,7
2537,7
346,7
5158,7
5162,7
2673,7
381,7
383,7
9538,7
9545,7
5226,7
5228,7
5238,7
3906,7
8964,7
8972,7
865,7
8980,7
5313,7
5316,7
2524,7
5336,7
5344,7
2697,7
5255,7
5284,7
8928,7
3656,7
3970,7
3973,7
3986,7
4024,7
924,7
2505,7
2506,7
5362,7
5366,7
5149,7
5151,7
2709,7
2710,7
2712,7
2715,7
5297,7
903,7
3620,7
3628,7
3602,7
797,7
9092,7
8869,7
8873,7
2454,7
5396,7
2467,7
5374,7
5346,7
2499,7
59,7
929,7
931,7
8801,7
8808,7
8835,7
8840,7
335,7
2439,7
9522,7
8845,7
9880,7
962,7
969,7
972,7
3569,7
8773,7
781,7
763,7
8725,7
3553,7
8711,7
1053,7
1069,7
5088,7
5104,7
2754,7
5478,7
2390,7
2393,7
740,7
4154,7
4165,7
9244,7
1087,7
1077,7
729,7
1107,7
1118,7
4174,7
3522,7
8660,7
8592,7
8596,7
8598,7
5026,7
2774,7
5058,7
2394,7
2375,7
2380,7
5496,7
8610,7
8612,7
4188,7
3509,7
4197,7
4204,7
1174,7
1179,7
710,7
1190,7
1196,7
4947,7
4960,7
2359,7
422,7
8586,7
4209,7
4217,7
3490,7
3494,7
8564,7
8572,7
4933,7
4936,7
2317,7
2334,7
2335,7
9494,7
9506,7
2348,7
5510,7
1208,7
117,7
118,7
119,7
8530,7
311,7
460,7
462,7
9490,7
5537,7
5538,7
5544,7
5520,7
1254,7
8515,7
8517,7
8525,7
1234,7
3478,7
3482,7
3484,7
4252,7
5637,7
4904,7
2837,7
2845,7
2276,7
5584,7
3464,7
4263,7
9272,7
1269,7
4278,7
3426,7
1295,7
9259,7
9266,7
9282,7
2225,7
4892,7
2853,7
2260,7
2250,7
2252,7
5633,7
4299,7
4302,7
3412,7
3418,7
1340,7
4312,7
4888,7
2211,7
5665,7
3396,7
3401,7
4320,7
4321,7
8455,7
8461,7
670,7
1362,7
1366,7
1367,7
1357,7
3380,7
3381,7
3382,7
3361,7
3363,7
1377,7
2149,7
4873,7
2885,7
466,7
5720,7
5762,7
2191,7
464,7
2870,7
1380,7
4346,7
8386,7
1402,7
4852,7
4856,7
2153,7
2158,7
5808,7
5779,7
1436,7
1437,7
8358,7
8364,7
1427,7
9297,7
9300,7
1449,7
3342,7
3318,7
1456,7
1460,7
1441,7
8329,7
4778,7
4824,7
5876,7
2117,7
2125,7
1482,7
